# Green's function G_{lmω}(r,r') for Teukolsky equation
# s=-2, l=2, m=2, a=0.0, r'=10.0M, r=30.0M
# Columns: ω  Re[G]  Im[G]  |G|  Re[ν]  Im[ν]
-3.20000000e-01  +2.2138866854173616e+03  +2.2332343152170743e+03  3.1446191760738448e+03  +1.7375329132632382e+00  -2.0056154973772383e-18
-3.00000000e-01  -8.3493759774781449e+02  +2.4950615938066089e+03  2.6310555199428359e+03  +1.7792805424199194e+00  -4.2607169661826360e-19
-2.80000000e-01  -2.0795749710999121e+03  +3.9811300289923201e+02  2.1173393737194433e+03  +1.8141845723742256e+00  -4.0613754765429442e-19
-2.60000000e-01  -1.1103467573516216e+03  -1.2125742228771212e+03  1.6441429887778359e+03  +1.8441363975819305e+00  -1.9632127928899146e-19
-2.40000000e-01  +2.9501936214641870e+02  -1.1956109218630254e+03  1.2314714371512775e+03  +1.8701862772269970e+00  -1.9136376368723860e-19
-2.20000000e-01  +8.2489917214462639e+02  -3.2643644896949883e+02  8.8714113838819708e+02  +1.8929886645575951e+00  +1.8754277618204162e-19
-2.00000000e-01  +5.2254571969586448e+02  +3.1786527101451122e+02  6.1163090151626386e+02  +1.9129832302687764e+00  -4.6124483429322616e-20
-1.80000000e-01  +5.1398227008577500e+01  +3.9736183312417654e+02  4.0067219040436436e+02  +1.9304810878649632e+00  +1.3651859379591786e-19
-1.60000000e-01  -1.6623300734090992e+02  +1.8250685974753040e+02  2.4686467261337282e+02  +1.9457105709683600e+00  +6.7497841586838057e-20
-1.40000000e-01  -1.4093934164137943e+02  -5.9793259556706280e-01  1.4094060999475741e+02  +1.9588435380566571e+00  +8.9161114639168118e-20
-1.20000000e-01  -5.0625140268026804e+01  -5.2417460124839245e+01  7.2873142879228837e+01  +1.9700114182847774e+00  -2.7648800289686772e-21
-1.00000000e-01  -6.9576282612990870e-01  -3.2828267829283419e+01  3.2835640005661361e+01  +1.9793154547208427e+00  -1.0990186312484112e-20
-8.00000000e-02  +7.1566626050845334e+00  -9.5906336669170749e+00  1.1966539757842222e+01  +1.9868334668842529e+00  -3.4173952144542938e-22
-6.00000000e-02  +2.6018291655452055e+00  -1.2923360265204071e+00  2.9051071257570200e+00  +1.9926244151068975e+00  -2.7234895274353715e-21
-4.00000000e-02  -3.1773598331682512e-03  -3.2447476791515550e-01  3.2449032439982467e-01  +1.9967315077104126e+00  -1.0610276065781051e-23
-2.00000000e-02  -4.9327848519494832e-01  -2.3732437110541701e-01  5.4739978176539728e-01  +1.9991842926399053e+00  +2.4647219734608169e-30
+2.00000000e-02  -4.9327848519494827e-01  +2.3732437110541726e-01  5.4739978176539728e-01  +1.9991842926399053e+00  -2.4647219734608169e-30
+4.00000000e-02  -3.1773598331683544e-03  +3.2447476791515562e-01  3.2449032439982478e-01  +1.9967315077104126e+00  +1.0610276065781051e-23
+6.00000000e-02  +2.6018291655452082e+00  +1.2923360265204067e+00  2.9051071257570222e+00  +1.9926244151068975e+00  +2.7234895274353715e-21
+8.00000000e-02  +7.1566626050845352e+00  +9.5906336669170784e+00  1.1966539757842227e+01  +1.9868334668842529e+00  +3.4173952144542938e-22
+1.00000000e-01  -6.9576282612988261e-01  +3.2828267829283533e+01  3.2835640005661475e+01  +1.9793154547208427e+00  +1.0990186312484112e-20
